Date,Conscientização da População,Condições de Moradia Precárias,Falta de Acesso a Serviços de Saúde,Migração de Pessoas de Áreas Endêmicas,Transporte de Mercadorias em Áreas Urbanas,Outros,Presença do mosquito
1987-01-01,2,"0,555259263140639","0,2815108989463590","0,6429925918512230","0,589273493114406","0,0909405702835652",874324
1987-01-02,2,"0,481989978544179","0,2563120444327210","0,4652202870391560","0,105567816820189","0,4416194993963590",869290
1987-01-03,4,"0,661297434399373","0,0547120630133933","0,1264073250507620","0,525688440214732","0,2740564707309670",880145
1987-01-04,2,"0,327870708301440","0,3175125288904890","0,1968992222918770","0,564144893363298","0,1608833958435060",295600
1987-01-05,2,"0,246563217613570","0,2475953587478760","0,7411695099122610","0,218586199073160","0,1974662118278430",681702
1987-01-06,3,"0,535521704853058","0,0638854692513499","0,4098620377856010","0,431381558397535","0,5061851154606070",165624
1987-01-07,2,"0,614372255343032","0,4499674310565520","0,4394186648386380","0,133173816908330","0,5469133196610480",363188
1987-01-08,1,"0,617146194707763","0,2546867449067590","0,6705254106081090","0,085418248490612","0,2045337935348420",711708
1987-01-09,1,"0,185682476752228","0,4686599233617220","0,6196616114502900","0,326915027582706","0,3655129931135850",615180
1987-01-10,2,"0,254053761586242","0,1443697848816820","0,6738667585919220","0,508987213032171","0,2289262486433610",145553
1987-01-11,1,"0,456453484440811","0,2569152643020600","0,4424181672924060","0,493091643463899","0,5456978176495670",313429
1987-01-12,2,"0,173435975157941","0,1673867200025020","0,3408045740217430","0,323302545824278","0,4476701183733910",235357
1987-01-13,3,"0,269081986462730","0,3240348036855910","0,3378313426520350","0,453216061495147","0,2905584438949520",800875
1987-01-14,2,"0,433946983043496","0,4852983518719050","0,2964379712166250","0,302290688478017","0,1800511476620130",940431
1987-01-15,3,"0,421054732128104","0,0594590329528287","0,3117493711148170","0,453888350706910","0,2014577729937970",946387
1987-01-16,3,"0,420172634239784","0,3459258254578760","0,2339456135153790","0,506322850924831","0,2174542275745310",965592
1987-01-17,3,"0,640004158097421","0,1867582789168090","0,6430480479273060","0,380495032682093","0,2729386219215210",552758
1987-01-18,2,"0,402636451726073","0,1513670058496040","0,7047513666973730","0,227822268073639","0,1894652283015960",435749
1987-01-19,2,"0,490875775114380","0,4644015019236530","0,4287912045472590","0,173502839034749","0,1406945121491430",412591
1987-01-20,1,"0,561754532083224","0,1426223134526130","0,3594734855643120","0,156986457032596","0,0530535207169389",228225
1987-01-21,2,"0,192721809813629","0,4814343666645380","0,4171955702915090","0,519940101245799","0,3630702214682190",578400
1987-01-22,2,"0,183397315376096",indisponivel,"0,5351757623065960","0,271697205086697","0,3143060057538440",650424
1987-01-23,2,"0,478789375400243","0,1046305193997340","0,2187897832019370","0,261148509518572","0,0905829881842456",341107
1987-01-24,2,"0,591957849988052","0,1677059850306420","0,6820721727227390","0,107793786550962","0,2226571256099560",431531
1987-01-25,3,"0,317268228282994","0,1694739491067150","0,4210717532089380","0,188319169411270","0,0864695233597141",532477
1987-01-26,2,"0,606296174567151","0,0788375430706008","0,3259613517445550","0,366193878242149","0,4549908073242180",508477
1987-01-27,3,"0,269323746173697","0,2643002028096570","0,6457379375797670","0,437010364486636","0,1337445640687650",786901
1987-01-28,2,"0,476559329683064",indisponivel,"0,5121469511741600","0,329036068279864","0,5228620530606790",130085
1987-01-29,2,"0,419848350902501","0,2212867109415950","0,5113143081632140","0,389375181888902","0,4569898293625420",920726
1987-01-30,3,"0,472266171066266","0,2040223315771470","0,1403568522681890","0,250538218623584","0,3470754611183280",168414
1987-01-31,1,"0,206636574385659","0,4343875676178080","0,6623903405045750","0,547007578626673","0,5474710567086790",124439
1987-02-01,2,"0,122265330766162","0,4118895132577800","0,1944432984951680","0,567573313709889","0,4716342815624100",582688
1987-02-02,2,"0,151898125349942","0,4700347099894970","0,2586839149598630","0,197782784085050","0,5520651680778790",495742
1987-02-03,2,"0,292112957493630","0,3544431954359270","0,4500485868893560","0,346768513364599","0,2544035143275420",210196
1987-02-04,2,"0,158683994972333","0,4111471409501360","0,4126947156661410","0,073776194878883","0,4868763431165270",571012
1987-02-05,2,"0,615598062926405",,"0,3603443356008670","0,416403665129608","0,3236471394909620",745994
1987-02-06,2,"0,343163257634702","0,0843482888769782","0,3148690881658030","0,112619843737015","0,5392246311083750",478365
1987-02-07,1,"0,624592114700665","0,3916949767542770","0,7191380393265520","0,323471964199132","0,1257060743755290",335615
1987-02-08,2,"0,352485179456351","0,2453299025389200","0,3047751673272510","0,555869950026315","0,0877219939901133",108264
1987-02-09,2,"0,108187138675680","0,1707312406638120","0,4430604661106440","0,558033641524244","0,1161089197582460",157586
1987-02-10,2,"0,512460411496538","0,2422270911403910","0,2130641838658010","0,473630758374754","0,5471537877363070",341191
1987-02-11,2,"0,657988792254672","0,1564131348199180","0,2476417814858790","0,128435999270452","0,1247530789961640",842103
1987-02-12,2,"0,414909051064931","0,1838796459895790","0,6867341333929180","0,342591380214956","0,4948238708600150",278422
1987-02-13,2,"0,115524564559992","0,3913798089193730","0,7423212035370510","0,489726818591621","0,2333046949879160",603749
