Date,Presença de Criadouros,Água Parada em Terrenos Baldios,Presença de Piscinas sem Manutenção,Presença de Recipientes sem Tampas
1987-01-01,"0,7602152408153650","0,6906838391224580",3057,5501
1987-01-02,"0,5137786111649520","0,2073712658734020",1696,63609
1987-01-03,"0,2984419065829870","0,6441713783593510",4996,86840
1987-01-04,"0,2053520341773380","0,2431789697272530",4502,89673
1987-01-05,"0,6968290036485810","0,4120399738531120",4121,55219
1987-01-06,"0,1238475802249990","0,2808978002240060",2264,69744
1987-01-07,"0,1460400843115140","0,1469249579409470",1868,92844
1987-01-08,"0,3924021317664050","0,4816605546762110",408,11128
1987-01-09,"0,1440247228290310","0,4802623887303060",4613,22818
1987-01-10,"0,3019870662157680","0,3127053325333860",4229,indisponivel
1987-01-11,"0,5867703970504230","0,6014524211063240",1885,15969
1987-01-12,"0,4687793788103780","0,5723449881547070",2435,35486
1987-01-13,"0,5606805123169730","0,2853878362595530",1653,90585
1987-01-14,"0,2012131278581540","0,5616326459085160",3444,18547
1987-01-15,"0,1822817085385070","0,2909285791236130",3729,18766
1987-01-16,"0,2388691340906040","0,4374459681465690",992,1109
1987-01-17,"0,2763478414135450","0,6907725323356100",4745,30840
1987-01-18,"0,1547598889648080","0,3769758943945770",3158,64441
1987-01-19,"0,3147093154673820","0,5816549150224230",1905,65845
1987-01-20,"0,1433247212009300","0,2202751837708440",3301,78752
1987-01-21,"0,7489425498540480","0,1090167141824670",4093,18857
1987-01-22,"0,5643375208503220","0,1041311089093040",1562,82346
1987-01-23,"0,4270505379639030","0,4684477881548960",4239,59142
1987-01-24,"0,2149296056955660","0,1451566667883830",823,27232
1987-01-25,"0,5201912359961300","0,6811873561274200",2615,62015
1987-01-26,"0,4300652963373390","0,2369858230746500",969,92272
1987-01-27,"0,5603898305838330","0,2019363079409690",2266,3442
1987-01-28,"0,5677226925268320","0,2293106361734290",3981,20043
1987-01-29,"0,2446243175588670","0,4306441958289370",2660,67942
1987-01-30,indisponivel,"0,3633824720191090",319,90145
1987-01-31,"0,3389166318540210",indisponivel,4934,15755
1987-02-01,"0,1611132483711760","0,6703919505269070",4975,98837
1987-02-02,"0,2964385375561900","0,4580153330033890",3672,55263
1987-02-03,"0,5254721053787560","0,6359911573446790",316,53214
1987-02-04,"0,7103443017975360","0,6397068062991290",2414,42852
1987-02-05,"0,6579216055248750","0,4865965805663600",4552,62275
1987-02-06,"0,2522320675495690","0,6183745794169390",3676,30245
1987-02-07,"0,7568047155913230","0,1617202982380090",,85343
1987-02-08,"0,5641321520782060","0,1841317411352350",3797,70180
1987-02-09,"0,6685448844845590","0,1269770277032960",589,49562
1987-02-10,"0,3712304835961280","0,3534162551927900",4205,41462
1987-02-11,"0,2232022953238690","0,2306033844376080",indisponivel,21513
1987-02-12,"0,1764471767481190","0,6167718739410860",3048,98285
1987-02-13,"0,6541610348790320","0,5931933629394670",4090,82206
1987-02-14,"0,4771663382811820","0,2864978459711250",2084,97742
1987-02-15,"0,1978958999326780","0,3093183293342060",4555,35116
1987-02-16,"0,4403172555909220","0,4419704661457220",3447,53515
1987-02-17,"0,3091829937548230","0,6522779471131480",4340,19992
1987-02-18,"0,5568956048322450","0,6866845130143300",3452,92503
1987-02-19,"0,6956999690306530","0,3852074442397120",1970,32614
1987-02-20,"0,7702051527945990","0,6736498346606410",2591,95160
1987-02-21,"0,1977126794738950","0,2352485621106550",2955,1643
1987-02-22,"0,6510028066583490","0,1464064477443220",2781,76876
1987-02-23,"0,4517378979260430","0,4222805697053200",indisponivel,52737
1987-02-24,"0,3468094220317400","0,4413653504112470",4375,55027
1987-02-25,"0,3859252538639600","0,3786516751968450",2736,71337
1987-02-26,"0,4247898167228700","0,6890293299969780",4643,50941
1987-02-27,"0,7947503099448140","0,6865095927042750",3291,55288
1987-02-28,"0,4750326312826320","0,2439653828494420",1301,71415
1987-03-01,"0,5197045282386330","0,4644391137103770",2912,39873
1987-03-02,"0,6914109868706080","0,5558927936823060",4365,28306
1987-03-03,"0,2375800897454500","0,1385922418006210",3255,16174
1987-03-04,"0,3345767347490070","0,2527724475439030",598,36450
1987-03-05,"0,4626923805325210","0,6592131962380460",766,94383
1987-03-06,"0,3107138658125690","0,5990879240931860",447,5126
1987-03-07,"0,6007229262550180","0,2451885722940330",837,82433
1987-03-08,"0,3334903546262450","0,2789527673903870",1409,25467
1987-03-09,"0,1671142229431570","0,5943370386415520",881,72598
1987-03-10,"0,7129342680836550","0,6021697784205900",2612,45051
1987-03-11,"0,4306494960379350","0,6676695705633440",4297,32606
1987-03-12,"0,5699845343195440","0,6373532481551490",2217,70247
1987-03-13,"0,7107771522288100","0,3755809880139820",1096,26106
1987-03-14,"0,4771915533944760","0,2265727308747850",4792,21569
1987-03-15,"0,2164728204716250","0,5919411807809550",3960,68137
1987-03-16,"0,6181024018273290","0,1213229468360570",4666,77510
1987-03-17,"0,5904793311312840","0,6480253921692840",2788,25844
1987-03-18,"0,6813418811007510","0,2452671796181690",354,24441
1987-03-19,"0,5490052669460530","0,2836047930058120",4063,69270
1987-03-20,"0,7519830158971500","0,1249998836670700",2111,95112
1987-03-21,"0,1033207107492200","0,2542796918933030",4494,7356
1987-03-22,"0,2962340678651590","0,5604950671793350",1618,69277
1987-03-23,"0,7798770710106720","0,5171279677102370",4667,55233
1987-03-24,"0,5612412279249570","0,2484702681105240",3328,18327
1987-03-25,"0,1210469058324530","0,5458976264748660",403,1979
1987-03-26,"0,3518939015603880","0,4204530262067300",4690,80670
1987-03-27,"0,6183439669707430","0,4422410082303210",1432,
1987-03-28,"0,2895671426664590","0,6377108375240670",2128,1225
1987-03-29,"0,4092154488501840","0,3211531361581120",4914,37338
1987-03-30,"0,3897316257269950","0,6632192717384310",936,29540
1987-03-31,"0,4404416047992690","0,4202418563002780",1645,70894
1987-04-01,"0,5808529857194510","0,2090597376836920",1592,90318
1987-04-02,"0,5317417554357020","0,3742812104029720",1691,33867
1987-04-03,"0,2845115653765900","0,5482823685454800",4613,40735
1987-04-04,"0,5375288881138180","0,3765140683959270",4226,52169
1987-04-05,,"0,6096394545788970",343,14359
1987-04-06,"0,7282405897617000","0,1278786508772220",3380,92357
1987-04-07,"0,1447358283757290","0,3206931555817130",1543,99033
1987-04-08,"0,5855580046038060","0,6876911989202730",2028,49585
1987-04-09,"0,2245235429644390","0,6679531948696570",4324,13614
1987-04-10,"0,1785893690279230","0,2352199841068000",2124,16986
1987-04-11,"0,7769319506754670","0,4227373272458170",4682,66548
1987-04-12,"0,3819676758466270","0,6707068984695540",3238,36112
1987-04-13,"0,2825273256607740","0,1404393284205000",1746,25835
1987-04-14,"0,1219611716322780","0,5557519085459730",2944,50634
1987-04-15,"0,5377893583402810","0,6125578058480880",3521,77826
1987-04-16,"0,3060225529491710","0,6880214392969380",2484,99718
1987-04-17,"0,5949692364121120","0,2980161021387630",4255,15372
1987-04-18,"0,3338205005142360","0,5248677705005900",2552,3381
1987-04-19,"0,1656032334521440","0,2409764575077710",693,46858
1987-04-20,"0,6503262293083360","0,4719395562465160",931,36572
1987-04-21,"0,7939705806129680","0,2894273318027880",1205,82468
1987-04-22,"0,7081411925550760","0,5558210126380690",3702,54771
1987-04-23,"0,6969732269137780","0,1580036786211020",998,82005
